Model,Loss,AUC,AUPRC,AP@50,Comment
DeepChem/ChemBERTa-77M-MTR,0.05403532087802887,0.8659905195236206,0.3410109281539917,0.6799475700295171,
DeepChem/ChemBERTa-77M-MTR,0.053867463022470474,0.8681560158729553,0.34633833169937134,0.6919974005132401,
DeepChem/ChemBERTa-77M-MTR,0.05382649600505829,0.8672821521759033,0.34187790751457214,0.676808503936528,
DeepChem/ChemBERTa-77M-MTR,0.05326852574944496,0.8715980052947998,0.36254042387008667,0.7194469749302153,
DeepChem/ChemBERTa-77M-MTR,0.05401560664176941,0.8649814128875732,0.3359932601451874,0.6729675149071832,
