Model,Loss,AUC,AUPRC,AP@50,Comment
DeepChem/ChemBERTa-77M-MTR,0.055400505661964417,0.8640435934066772,0.3341588079929352,0.6626009320517248,
DeepChem/ChemBERTa-77M-MTR,0.05372307449579239,0.8680827021598816,0.3491784930229187,0.6907903970625565,
DeepChem/ChemBERTa-77M-MTR,0.05400695279240608,0.8658987879753113,0.3349613845348358,0.6524769043086678,
DeepChem/ChemBERTa-77M-MTR,0.05362740904092789,0.8676389455795288,0.34538447856903076,0.6814418063909329,
DeepChem/ChemBERTa-77M-MTR,0.053710855543613434,0.8675777912139893,0.34529387950897217,0.6817617416111295,
DeepChem/ChemBERTa-77M-MTR,0.053898271173238754,0.865497887134552,0.338451087474823,0.669865895033497,
DeepChem/ChemBERTa-77M-MTR,0.053520482033491135,0.8691136837005615,0.345876008272171,0.668890922224175,
DeepChem/ChemBERTa-77M-MTR,0.05343908816576004,0.86969393491745,0.34894078969955444,0.6835267854302002,
DeepChem/ChemBERTa-77M-MTR,0.05373208969831467,0.8669267296791077,0.34471309185028076,0.684632384360711,
DeepChem/ChemBERTa-77M-MTR,0.05376482754945755,0.866779625415802,0.3424603343009949,0.6803691675805564,
