epoch,train_loss,bce_loss,rank_loss,val_auc,val_auprc,lr,train_sample_n,mp_sample_n
42,0.64191097,0.61723214,0.12339420,0.76115888,0.73813396,0.0010000000,610084,882352
43,0.64148903,0.61700535,0.12241847,0.76136158,0.73861038,0.0010000000,617647,894117
44,0.64118958,0.61655217,0.12318714,0.76461844,0.74195679,0.0010000000,625210,905882
45,0.64174551,0.61782908,0.11958209,0.76444089,0.74133501,0.0010000000,632773,917647
46,0.64060056,0.61628419,0.12158179,0.76819668,0.74588849,0.0010000000,640336,929411
47,0.63812023,0.61428916,0.11915522,0.76975290,0.74615469,0.0010000000,647899,941176
48,0.63692635,0.61306489,0.11930738,0.77089205,0.74763576,0.0010000000,655462,952941
49,0.63751942,0.61362129,0.11949059,0.77452117,0.75156511,0.0010000000,663025,964705
50,0.63864219,0.61538619,0.11627999,0.77601052,0.75349713,0.0010000000,670588,976470
51,0.63505042,0.61176306,0.11643671,0.77839719,0.75525768,0.0010000000,678151,988235
52,0.63285601,0.60980189,0.11527061,0.78142491,0.75699981,0.0010000000,685714,1000000
53,0.63406467,0.61085516,0.11604741,0.78013037,0.75614498,0.0010000000,693277,1011764
54,0.63650364,0.61268610,0.11908765,0.78150339,0.75819198,0.0010000000,700840,1023529
55,0.63488996,0.61213988,0.11375033,0.78599659,0.76287113,0.0010000000,708403,1035294
56,0.63098890,0.60784030,0.11574292,0.78415804,0.76092538,0.0010000000,715966,1047058
57,0.63195759,0.60881054,0.11573530,0.78559020,0.76283298,0.0010000000,723529,1058823
58,0.63359851,0.61083502,0.11381733,0.78638727,0.76325255,0.0010000000,731092,1070588
59,0.62970507,0.60658282,0.11561131,0.78881732,0.76540954,0.0010000000,738655,1082352
60,0.62924719,0.60613608,0.11555558,0.78967825,0.76731465,0.0010000000,746218,1094117
61,0.63106245,0.60914731,0.10957565,0.79071302,0.76812125,0.0010000000,753781,1105882
62,0.63722593,0.61476189,0.11232020,0.79005182,0.76949609,0.0010000000,761344,1117647
63,0.63409168,0.61210740,0.10992130,0.79124606,0.77076198,0.0010000000,768907,1129411
64,0.62802511,0.60600263,0.11011254,0.79310031,0.77069673,0.0010000000,776470,1141176
65,0.63307834,0.61056358,0.11257390,0.79064189,0.76757177,0.0010000000,784033,1152941
66,0.62695402,0.60402477,0.11464631,0.79391755,0.77144809,0.0010000000,791596,1164705
67,0.62672508,0.60417038,0.11277342,0.79369963,0.77152898,0.0010000000,799159,1176470
68,0.62763435,0.60487384,0.11380266,0.79499015,0.77300675,0.0010000000,806722,1188235
69,0.62377226,0.60123783,0.11267220,0.79915188,0.77679626,0.0010000000,814285,1200000
70,0.62547541,0.60308576,0.11194810,0.79601146,0.77286662,0.0010000000,821848,1211764
71,0.62639493,0.60327828,0.11558335,0.80155370,0.77911804,0.0010000000,829411,1223529
72,0.62282324,0.60053581,0.11143702,0.80233872,0.78077718,0.0010000000,836974,1235294
73,0.62053794,0.59837759,0.11080185,0.80396171,0.78115789,0.0010000000,844537,1247058
74,0.61950403,0.59697884,0.11262610,0.80353433,0.78047413,0.0010000000,852100,1258823
75,0.62122315,0.59840864,0.11407261,0.80073746,0.77708440,0.0010000000,859663,1270588
76,0.63571358,0.61282903,0.11442266,0.79647584,0.77717172,0.0010000000,867226,1282352
77,0.65071642,0.62807715,0.11319638,0.79409205,0.77498608,0.0010000000,874789,1294117
78,0.62619144,0.60376579,0.11212821,0.79290415,0.77202783,0.0005000000,882352,1305882
79,0.63891792,0.61714059,0.10888657,0.79406416,0.77251358,0.0005000000,889915,1317647
80,0.63081992,0.60894448,0.10937707,0.79450134,0.77211773,0.0005000000,897478,1329411
81,0.62539870,0.60345960,0.10969555,0.79589898,0.77378041,0.0005000000,905042,1341176
82,0.62901598,0.60729688,0.10859536,0.79442738,0.77230726,0.0005000000,912605,1352941
83,0.62957597,0.60737365,0.11101144,0.78938547,0.76907897,0.0002500000,920168,1364705
84,0.62717450,0.60430139,0.11436559,0.78978287,0.76965559,0.0002500000,927731,1376470
85,0.62698019,0.60414934,0.11415426,0.79217987,0.77083310,0.0002500000,935294,1388235
86,0.62596548,0.60348475,0.11240359,0.79793652,0.77681404,0.0002500000,942857,1400000
87,0.62340426,0.60167021,0.10867015,0.80238255,0.77960755,0.0002500000,950420,1411764
88,0.62088364,0.59981638,0.10533619,0.80483355,0.78265392,0.0002500000,957983,1423529
89,0.62074155,0.59990519,0.10418180,0.80338045,0.78229068,0.0002500000,965546,1435294
90,0.62090504,0.60002828,0.10438380,0.80162175,0.78044482,0.0002500000,973109,1447058
91,0.62054819,0.59956068,0.10493761,0.80381055,0.78252162,0.0002500000,980672,1458823
92,0.62010652,0.59890342,0.10601543,0.80432558,0.78302804,0.0002500000,988235,1470588
93,0.61974335,0.59832495,0.10709184,0.80618594,0.78395713,0.0002500000,995798,1482352
94,0.61844170,0.59681088,0.10815406,0.80640992,0.78409369,0.0002500000,1003361,1494117
95,0.61752391,0.59547359,0.11025175,0.80565150,0.78258682,0.0002500000,1010924,1505882
96,0.61657834,0.59410399,0.11237179,0.80615244,0.78301799,0.0002500000,1018487,1517647
97,0.61680686,0.59367442,0.11566214,0.80634818,0.78257196,0.0002500000,1026050,1529411
98,0.61664087,0.59321582,0.11712521,0.80655700,0.78363941,0.0002500000,1033613,1541176
99,0.61654824,0.59289944,0.11824395,0.80788806,0.78467773,0.0002500000,1041176,1552941
100,0.61559021,0.59211212,0.11739042,0.80911398,0.78560988,0.0002500000,1048739,1564705
101,0.61449128,0.59154785,0.11471716,0.81023965,0.78707970,0.0002500000,1056302,1576470
102,0.61411458,0.59136689,0.11373853,0.81026644,0.78754902,0.0002500000,1063865,1588235
103,0.61450195,0.59176970,0.11366144,0.80989653,0.78732101,0.0002500000,1071428,1600000
104,0.61367285,0.59119111,0.11240883,0.81241990,0.78910127,0.0002500000,1078991,1611764
105,0.61326736,0.59075189,0.11257730,0.81190967,0.78820998,0.0002500000,1086554,1623529
106,0.61279440,0.59028769,0.11253352,0.81320334,0.78972608,0.0002500000,1094117,1635294
107,0.61130285,0.58884710,0.11227884,0.81431164,0.79006981,0.0002500000,1101680,1647058
108,0.61140215,0.58864212,0.11380021,0.81487640,0.79086978,0.0002500000,1109243,1658823
109,0.61136413,0.58833092,0.11516589,0.81369115,0.78994067,0.0002500000,1116806,1670588
110,0.61026919,0.58728361,0.11492787,0.81556318,0.79188528,0.0002500000,1124369,1682352
111,0.61044806,0.58720744,0.11620304,0.81636874,0.79255793,0.0002500000,1131932,1694117
112,0.60925382,0.58620965,0.11522081,0.81732615,0.79355099,0.0002500000,1139495,1705882
113,0.60885948,0.58586115,0.11499158,0.81782211,0.79429694,0.0002500000,1147058,1717647
114,0.60799336,0.58517295,0.11410203,0.81916101,0.79535007,0.0002500000,1154621,1729411
115,0.60821003,0.58532947,0.11440290,0.81932652,0.79572243,0.0002500000,1162184,1741176
116,0.60752749,0.58462107,0.11453222,0.82033106,0.79636988,0.0002500000,1169747,1752941
117,0.60666841,0.58379745,0.11435474,0.82105029,0.79685548,0.0002500000,1177310,1764705
118,0.60626483,0.58304983,0.11607503,0.82125165,0.79786642,0.0002500000,1184873,1776470
119,0.60546964,0.58214474,0.11662459,0.82198810,0.79762660,0.0002500000,1192436,1788235
120,0.60515171,0.58160895,0.11771378,0.82243618,0.79859986,0.0002500000,1200000,1800000
